,loan_amnt,fico,loan_age_in_months,annual_inc,logged_inc,delinq_2yrs,mths_since_last_delinq
429,24954.04,511.0,6,45473.67964864865,10.724888968300679,0.0,-1
430,20585.62,557.0,6,38315.67780538302,10.553614433588187,0.0,-1
431,16589.54,557.0,6,23400.622060669455,10.060517884781744,0.0,-1
432,11284.2,506.0,61,19639.898773402194,9.885318427791416,0.0,-1
433,14178.9,446.0,8,56799.87280832095,10.947289365416612,0.0,-1
434,19815.0,554.0,8,44501.1875,10.703271153191542,0.0,-1
435,16926.4,564.0,62,34311.302934537256,10.443230110489575,0.0,-1
439,13676.0,520.0,64,24220.91578947369,10.094971827683489,0.38095238095238093,63
440,14769.65,546.0,18,26992.462864901565,10.203312952864179,0.7619047619047619,13
441,8494.91,481.0,65,35441.55474418605,10.47564027351371,0.3870967741935484,62
444,23107.5,510.0,15,33521.446091644204,10.419940694824303,0.0,-1
445,12005.41,504.0,62,26934.572894078396,10.201165978077027,0.7741935483870968,59
446,10584.51,540.0,61,18135.243248407645,9.80561246482846,0.0,-1
447,27170.15,587.0,9,42591.90180652681,10.659419415748125,14.4,6
449,7945.56,671.0,8,26773.948421052635,10.19518461988745,0.0,-1
450,12800.63,587.0,7,23886.810596807765,10.081081727715848,0.0,-1
451,17362.82,582.0,7,31022.340850498338,10.342462896504205,1.180327868852459,6
452,19838.25,523.0,7,30292.478279386713,10.318654719076015,0.0,-1
453,25587.14,553.0,7,37845.88529152916,10.541277542032201,0.0,-1
454,24177.94,537.0,6,43988.14658998647,10.691675480924738,0.0,-1
455,14464.61,494.0,7,40985.601991570074,10.620976113074176,0.0,-1
456,23449.55,584.0,6,51516.20910947712,10.849651777121434,0.0,-1
459,10394.76,529.0,7,25549.825996343698,10.148385785289431,0.0,-1
461,14395.11,531.0,6,48446.121138923656,10.788207555061872,0.0,-1
464,20319.09,594.0,6,28832.735097625333,10.26926665597738,0.0,-1
466,26277.8,523.0,6,37867.63354769561,10.541852030105085,9.6,5
467,19497.17,550.0,6,39389.84983471074,10.581263443688346,0.0,-1
473,25382.45,500.0,60,45035.000396039606,10.715195253011883,0.0,-1
474,16834.25,569.0,60,44060.821811100286,10.693326272272724,0.0,-1
475,8878.83,536.0,60,25913.458241042343,10.162517735936508,3.2,58
476,16755.14,575.0,9,50042.01813333333,10.820618294169943,0.7619047619047619,5
477,10463.75,462.0,64,37438.21071904128,10.530447138825622,12.0,62
479,26523.71,505.0,11,42055.89436835891,10.646754830805977,0.0,-1
480,11244.77,475.0,19,21390.546898016997,9.97070436967933,8.0,15
482,28665.62,589.0,5,37160.16183397683,10.522992547976871,0.41379310344827586,5
483,14459.1,515.0,61,47287.06881851401,10.76399215060236,0.0,-1
484,20259.56,598.0,61,79878.00088105729,11.288255760690008,0.0,-1
485,19066.75,453.0,64,39410.48787528869,10.581787249591965,0.0,-1
487,11968.0,506.0,10,29292.68915223336,10.285093246881994,0.0,-1
488,27300.0,551.0,6,35808.74450415242,10.485947402454727,0.0,-1
489,11067.0,536.0,63,48064.446601941745,10.780298026898667,0.0,-1
490,11993.0,465.0,63,36330.93905191874,10.500424972718212,0.0,-1
